accession,year,city,trap,state,country,zone,date,host,lineage
CSU4030,2013,FC,FC-031,CO,USA,SE,6/25/13,Mosquito-Culex,NA
CSU4076,2013,LV,LV-095,CO,USA,LV,7/1/13,Mosquito-Culex,NA
CSU4091,2013,FC,FC-039,CO,USA,SE,7/2/13,Mosquito-Culex,NA
CSU4193,2013,FC,FC-004,CO,USA,SE,7/9/13,Mosquito-Culex,NA
CSU4209,2013,FC,FC-066,CO,USA,NE,7/9/13,Mosquito-Culex,NA
CSU4210,2013,FC,FC-066,CO,USA,NE,7/9/13,Mosquito-Culex,NA
CSU4234,2013,FC,FC-027,CO,USA,SE,7/9/13,Mosquito-Culex,NA
CSU4237,2013,FC,FC-039,CO,USA,SE,7/9/13,Mosquito-Culex,NA
CSU4243,2013,LV,LV-089,CO,USA,LV,7/9/13,Mosquito-Culex,NA
CSU4247,2013,FC,FC-031,CO,USA,SE,7/9/13,Mosquito-Culex,NA
CSU4253,2013,FC,FC-046,CO,USA,SE,7/9/13,Mosquito-Culex,NA
CSU4285,2013,FC,FC-001,CO,USA,SW,7/11/13,Mosquito-Culex,NA
CSU4289,2013,LV,LV-102,CO,USA,LV,7/11/13,Mosquito-Culex,NA
CSU4336,2013,LV,LV-117,CO,USA,LV,7/15/13,Mosquito-Culex,NA
CSU4352,2013,LV,LV-095,CO,USA,LV,7/15/13,Mosquito-Culex,NA
CSU4365,2013,LV,LV-118,CO,USA,LV,7/16/13,Mosquito-Culex,NA
CSU4372,2013,FC,FC-053,CO,USA,SE,7/16/13,Mosquito-Culex,NA
CSU4377,2013,FC,FC-075,CO,USA,SE,7/16/13,Mosquito-Culex,NA
CSU4384,2013,FC,FC-075GR,CO,USA,SE,7/16/13,Mosquito-Culex,NA
CSU4385,2013,FC,FC-075GR,CO,USA,SE,7/16/13,Mosquito-Culex,NA
CSU4391,2013,LV,LV-074,CO,USA,LV,7/16/13,Mosquito-Culex,NA
CSU4395,2013,FC,FC-039,CO,USA,SE,7/16/13,Mosquito-Culex,NA
CSU4396,2013,FC,FC-039,CO,USA,SE,7/16/13,Mosquito-Culex,NA
CSU4413,2013,FC,FC-064,CO,USA,SE,7/16/13,Mosquito-Culex,NA
